UNIQ_ID;event_date;event_type
1;09.02.2015; устное сообщение о преступлении 
2;08.02.2015;сообщение о происшествии 
2;08.02.2015;возбуждено уголовное дело 
1;09.02.2015;приобщено к материалам сообщения
2;08.02.2015;появление потерпевшего 
2;26.03.2015;дело направлено прокурору в порядке ст. 220 УПК РФ
2;15.05.2015;дело направлено прокурором в суд в порядке ч. 1 ст. 221 УПК РФ 
3;10.02.2015;сообщение поступило по телефону
3;11.02.2015;возбуждено уголовное дело
3;14.02.2015;появление потерпевшего
3;12.03.2015;дело направлено прокурору в порядке ст. 220 УПК РФ
3;12.03.2015;дело возвращено на дополнительное расследование прокурором в порядке п. 2 ч. 1 ст. 221 УПК РФ
3;14.03.2015;дело направлено прокурору в порядке ст. 220 УПК РФ
3;14.03.2015;дело возвращено на дополнительное расследование прокурором в порядке п. 2 ч. 1 ст. 221 УПК РФ
3;17.03.2015;дело направлено прокурору в порядке ст. 220 УПК РФ
3;17.03.2015;дело возвращено на дополнительное расследование прокурором в порядке п. 2 ч. 1 ст. 221 УПК РФ
3;18.03.2015;дело направлено прокурору в порядке ст. 220 УПК РФ
3;19.03.2015;дело направлено прокурором в суд в порядке п. 1 ч. 5 ст. 439 УПК РФ
3;28.03.2015;рассмотрено судом
4;09.01.2012;сообщение о происшествии
5;10.01.2012;сообщение о происшествии
6;11.01.2012;сообщение о происшествии
7;12.01.2012;сообщение о происшествии
8;13.01.2012;сообщение о происшествии
9;14.01.2012;сообщение о происшествии
10;15.01.2012;сообщение о происшествии
4;09.01.2012;возбуждено уголовное дело
5;10.01.2012;возбуждено уголовное дело
6;11.01.2012;возбуждено уголовное дело
7;12.01.2012;возбуждено уголовное дело
8;13.01.2012;возбуждено уголовное дело
9;14.01.2012;возбуждено уголовное дело
10;15.01.2012;возбуждено уголовное дело
11;15.01.2012;сообщение о происшествии
11;15.02.2012;доследственная проверка продлена
11;26.02.2012;возбуждено уголовное дело
4;16.01.2012;появление потерпевшего
5;17.01.2012;появление потерпевшего
6;18.01.2012;появление потерпевшего
7;19.01.2012;появление потерпевшего
8;20.01.2012;появление потерпевшего
11;01.03.2012;появление потерпевшего
9;20.01.2012;появление потерпевшего
10;27.02.2012;дело приостановлено по п. 1 ч. 1 ст. 208 УПК РФ
4;24.02.2012;дело приостановлено по п. 1 ч. 1 ст. 208 УПК РФ
11;03.04.2012;дело приостановлено по п. 1 ч. 1 ст. 208 УПК РФ
5;20.02.2012;дело направлено прокурору в порядке ст. 220 УПК РФ
6;21.03.2012;дело направлено прокурору в порядке ст. 225 УПК РФ
7;21.02.2012;дело направлено прокурору в порядке ст. 225 УПК РФ
5;26.02.2012;дело направлено прокурором в суд в порядке ч. 1 ст. 221 УПК РФ
6;29.03.2012;дело направлено прокурором в суд в порядке ч. 1 ст. 226 УПК РФ
7;28.02.2012;дело направлено прокурором в суд в порядке ч. 1 ст. 226 УПК РФ
8;19.02.2012;доследственная проверка продлена
8;01.04.2012;дело приостановлено по п. 1 ч. 1 ст. 208 УПК РФ
9;15.03.2012;дело приостановлено по п. 2 ч. 1 ст. 208 УПК РФ
12;17.05.2013;рапорт об обнаружении признаков преступления
13;18.05.2013;рапорт об обнаружении признаков преступления
14;19.05.2013;рапорт об обнаружении признаков преступления
15;20.05.2013;рапорт об обнаружении признаков преступления
16;21.05.2013;рапорт об обнаружении признаков преступления
17;22.05.2013;рапорт об обнаружении признаков преступления
18;23.05.2013;рапорт об обнаружении признаков преступления
12;17.05.2013;возбуждено уголовное дело
13;18.05.2013;возбуждено уголовное дело
14;19.05.2013;возбуждено уголовное дело
15;20.05.2013;возбуждено уголовное дело
16;21.05.2013;возбуждено уголовное дело
17;22.05.2013;возбуждено уголовное дело
18;23.05.2013;возбуждено уголовное дело
12;04.06.2013;дело приостановлено по п. 1 ч. 1 ст. 208 УПК РФ
13;18.05.2013;появление потерпевшего
14;19.05.2013;появление потерпевшего
13;29.05.2013;дело направлено прокурору в порядке ст. 220 УПК РФ
14;16.06.2013;дело направлено прокурору в порядке ст. 225 УПК РФ
13;03.06.2013;дело направлено прокурором в суд в порядке ч. 1 ст. 221 УПК РФ
14;18.06.2013;дело направлено прокурором в суд в порядке ч. 1 ст. 226 УПК РФ
15;22.05.2013;дело соединено с другим делом
17;30.05.2013;дело направлено прокурору в порядке ст. 220 УПК РФ
18;20.06.2013;дело направлено прокурору в порядке ст. 225 УПК РФ
17;02.06.2013;дело направлено прокурором в суд в порядке ч. 1 ст. 221 УПК РФ
18;28.06.2013;дело направлено прокурором в суд в порядке ч. 1 ст. 226 УПК РФ
19;03.10.2013;письменное заявление о преступлении, подписанное заявителем
20;04.10.2013;письменное заявление о преступлении, подписанное заявителем
